음식이름,영양성분,함유량
고추장멸치볶음,레티놀,0.00㎍
고추장멸치볶음,비타민 A,180.11㎍RE
고추장멸치볶음,비타민 B,60.76mg
고추장멸치볶음,비타민 C,8.33mg
고추장멸치볶음,비타민 E,27.72mg
고추장멸치볶음,식이섬유,1.99g
고추장멸치볶음,아연,1.88mg
고추장멸치볶음,엽산,35.14㎍
고추장멸치볶음,인,801.61mg
고추장멸치볶음,지질,41.13g
고추장멸치볶음,철분,4.56mg
고추장멸치볶음,칼륨,"1,220.30mg"
고추장멸치볶음,칼슘,936.17mg
고추장멸치볶음,콜레스테롤,247.00mg
돼지고기 김치찌개,베타카로틴,"3,847.82㎍"
돼지고기 김치찌개,니아신,9.86mg
돼지고기 김치찌개,나트륨,"4,046.76mg"
돼지고기 김치찌개,단백질,64.10g
돼지고기 김치찌개,당질,25.84g
돼지고기 김치찌개,레티놀,0.00㎍
돼지고기 김치찌개,비타민 A,644.34㎍RE
돼지고기 김치찌개,비타민 B,61.70mg
돼지고기 김치찌개,비타민 C,50.26mg
돼지고기 김치찌개,비타민 E,13.96mg
돼지고기 김치찌개,식이섬유,20.92g
돼지고기 김치찌개,아연,6.27mg
돼지고기 김치찌개,엽산,202.46㎍
돼지고기 김치찌개,인,789.64mg
돼지고기 김치찌개,지질,59.36g
돼지고기 김치찌개,철분,12.64mg
돼지고기 김치찌개,칼륨,"2,026.06mg"
돼지고기 김치찌개,칼슘,492.64mg
돼지고기 김치찌개,콜레스테롤,120.00mg
돼지고기두루치기,베타카로틴,"1,115.41㎍"
돼지고기두루치기,니아신,3.98mg
돼지고기두루치기,나트륨,433.67mg
돼지고기두루치기,단백질,14.21g
돼지고기두루치기,당질,11.50g
돼지고기두루치기,레티놀,3.00㎍
돼지고기두루치기,비타민 A,188.89㎍RE
돼지고기두루치기,비타민 B,60.57mg
돼지고기두루치기,비타민 C,9.36mg
돼지고기두루치기,비타민 E,3.77mg
돼지고기두루치기,식이섬유,1.76g
돼지고기두루치기,아연,1.24mg
돼지고기두루치기,엽산,26.44㎍
돼지고기두루치기,인,148.49mg
돼지고기두루치기,지질,13.56g
돼지고기두루치기,철분,1.46mg
돼지고기두루치기,칼륨,360.64mg
돼지고기두루치기,칼슘,26.65mg
돼지고기두루치기,콜레스테롤,33.10mg
식혜,베타카로틴,0.00㎍
식혜,니아신,29.60mg
식혜,나트륨,114.00mg
식혜,단백질,55.60g
식혜,당질,698.10g
식혜,레티놀,0.00㎍
식혜,비타민 A,0.00㎍RE
식혜,비타민 B,65.18mg
식혜,비타민 C,0.00mg
식혜,비타민 E,3.20mg
식혜,식이섬유,29.80g
식혜,아연,12.49mg
식혜,엽산,208.80㎍
식혜,인,828.00mg
식혜,지질,5.60g
식혜,철분,31.70mg
식혜,칼륨,"1,989.00mg"
식혜,칼슘,153.00mg
식혜,콜레스테롤,0.00mg
연어스테이크,베타카로틴,970.98㎍
연어스테이크,니아신,33.72mg
연어스테이크,나트륨,"3,851.45mg"
연어스테이크,단백질,102.05g
연어스테이크,당질,45.53g
연어스테이크,레티놀,350.71㎍
연어스테이크,비타민 A,810.35㎍RE
연어스테이크,비타민 B,62.40mg
연어스테이크,비타민 C,26.43mg
연어스테이크,비타민 E,24.41mg
연어스테이크,식이섬유,8.02g
연어스테이크,아연,5.10mg
연어스테이크,엽산,130.21㎍
연어스테이크,인,"1,323.30mg"
연어스테이크,지질,80.51g
연어스테이크,철분,6.97mg
연어스테이크,칼륨,"1,778.08mg"
연어스테이크,칼슘,485.88mg
연어스테이크,콜레스테롤,721.12mg
육원전,베타카로틴,253.14㎍
육원전,니아신,10.98mg
육원전,나트륨,"1,414.50mg"
육원전,단백질,64.02g
육원전,당질,86.94g
